"Please read the textbook.",教[きょう] 科[か] 書[しょ]を 読[よ]んでください。
"Excuse me. Please teach me a little. (= Tell me, I need your advice.)",すみません。ちょっと 教[おし]えてください。
"May I see the textbook? Yes, you may. You may. Please.",教[きょう] 科[か] 書[しょ]を 見[み]てもいいですか。はい、 見[み]てもいいですよ。いいでしょ。どうぞ。
"You must not take pictures here.",ここで 写[しゃ] 真[しん]を 撮[と]ってはいけません。
"I will borrow her notebook and photocopy it.",ノートを 借[か]りて、コピーします。
"Today I got up at six and studied.",今日[きょう]は、 六[ろく] 時[じ]に 起[お]きて、 勉[べん] 強[きょう]しました。
"Let's go to the cafeteria and have lunch.",食[しょく] 堂[どう]に 行[い]って、 昼[ひる]ご 飯[はん]を 食[た]べましょう。
"I go to work by bus. (I take a bus to work.)",バスに 乗[の]って、 会[かい] 社[しゃ]に 行[い]きます。
"I am sorry for not bringing in the textbook. (I left the book at home, and I am sorry.)",教[きょう] 科[か] 書[しょ]を 忘[わす]れて、すみません。
"I will study this evening. (Because) we will have an exam tomorrow.",私は 今[こん] 晩[ばん] 勉[べん] 強[きょう]します。あしたテストがありますから。
"Let's go by bus. (Because) taxis are expensive.",バスに 乗[の]りましょう。タクシーは 高[たか]いですから。
"I'll do it.",(私)やりましょうか。
"Shall I carry your bag?",荷[に] 物[もつ]おもちましょうか。
"A: I went to bed at one o'clock yesterday. B: It's late.",A: きのう一時に寝ました。 B: 遅いすよ。
"On weekends, I get up around 10:00 and eat late breakfast.",週[しゅう] 末[まつ]には、十時ごろ 起[お]きて、 遅[おそ]い 朝[あさ]ご 飯[はん]を食べます。
"I went to bed late yesterday.",きのう、 遅[おそ]く 寝[ね]ました。
